"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2026-09-25 03:04:45.835Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:04:48.234Z",1.13705,1.13711
"exness","EURUSD","2026-09-25 03:04:51.612Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:04:57.449Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:05:02.072Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:05:04.907Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:05:08.964Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:05:09.276Z",1.1371,1.13716
"exness","EURUSD","2026-09-25 03:05:09.316Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:05:09.380Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:05:12.084Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:05:14.156Z",1.13711,1.13717
"exness","EURUSD","2026-09-25 03:05:18.138Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:05:24.462Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:05:27.047Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:05:28.509Z",1.13711,1.13717
"exness","EURUSD","2026-09-25 03:05:30.065Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:05:33.885Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:05:34.893Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:05:35.285Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:05:35.345Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:05:35.413Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:05:36.588Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 03:05:38.899Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:05:48.829Z",1.1372,1.13726
"exness","EURUSD","2026-09-25 03:05:49.144Z",1.13721,1.13727
"exness","EURUSD","2026-09-25 03:05:51.462Z",1.1372,1.13726
"exness","EURUSD","2026-09-25 03:05:55.258Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:05:57.610Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 03:06:00.651Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:06:01.653Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:06:02.657Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:06:05.197Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:06:07.056Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:06:08.662Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:06:10.436Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 03:06:10.689Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:06:10.706Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:06:11.008Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:06:12.651Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:06:13.710Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:06:28.470Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 03:06:29.896Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:06:31.051Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:06:32.566Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:06:33.567Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 03:06:37.167Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:06:37.210Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:06:38.439Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:06:40.094Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:06:51.773Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:06:51.838Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:06:51.979Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:06:57.699Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:06:58.707Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:06:59.709Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:07:00.506Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 03:07:02.231Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:07:02.238Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:07:02.286Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:07:04.214Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:07:05.283Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 03:07:07.262Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:07:08.432Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:07:10.539Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:07:11.557Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:07:13.345Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:07:15.358Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:07:16.455Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:07:19.822Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:07:28.282Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 03:07:29.948Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:07:34.941Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:07:40.434Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:07:42.427Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:07:43.400Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:07:45.570Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 03:07:47.665Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:07:51.601Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 03:07:52.739Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:07:54.898Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 03:08:00.412Z",1.1372,1.13726
"exness","EURUSD","2026-09-25 03:08:01.715Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:08:02.927Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:08:11.279Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:08:15.398Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 03:08:22.977Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:08:28.493Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 03:08:34.994Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:08:36.935Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:08:39.216Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:08:40.830Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:08:51.048Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:09:01.698Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:09:05.099Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:09:06.245Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:09:07.298Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:09:08.473Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:09:14.494Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:09:21.408Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:09:25.059Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:09:27.680Z",1.1371,1.13716
"exness","EURUSD","2026-09-25 03:09:27.712Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:09:28.711Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:09:44.593Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:09:48.350Z",1.1371,1.13716
"exness","EURUSD","2026-09-25 03:10:01.061Z",1.13711,1.13717
"exness","EURUSD","2026-09-25 03:10:03.112Z",1.1371,1.13716
"exness","EURUSD","2026-09-25 03:10:03.224Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:10:04.682Z",1.13709,1.13715
"exness","EURUSD","2026-09-25 03:10:13.202Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:10:16.178Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:10:18.275Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:10:20.935Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:10:23.048Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:10:26.310Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:10:30.668Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:10:34.688Z",1.13705,1.13711
"exness","EURUSD","2026-09-25 03:10:36.882Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:10:48.054Z",1.13705,1.13711
"exness","EURUSD","2026-09-25 03:10:50.654Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:11:00.535Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:11:01.564Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:11:02.593Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:11:07.485Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:11:09.903Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:11:12.418Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:11:15.357Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:11:19.021Z",1.13709,1.13715
"exness","EURUSD","2026-09-25 03:11:20.336Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:11:23.256Z",1.13709,1.13715
"exness","EURUSD","2026-09-25 03:11:26.530Z",1.1371,1.13716
"exness","EURUSD","2026-09-25 03:11:29.217Z",1.13709,1.13715
"exness","EURUSD","2026-09-25 03:11:30.221Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:11:40.293Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:11:45.820Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:11:47.076Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:11:49.439Z",1.13704,1.1371
"exness","EURUSD","2026-09-25 03:11:52.894Z",1.13705,1.13711
